dataset_path,record_id,source_id,decision,reason,evidence_sha256,replacement_record_id,replacement_source_id,replacement_value_sha256,reviewed_at,reviewer,affected_outputs
activity_schedule.csv,BASE.TO.PROF.HYBRID.2025|BUILDING.RESIDENTIAL.M2.YEAR|professional,SRC.IEA.NRCAN.BUILDINGS.2024,verified,Canonical record reviewed against its registered source and verified retrieval ledger; declared provenance and publication surfaces are retained.,20dd660eed35fa329e076ba1a4a306e2e01916fe2d42495de74839c5245ab90c,,,,2026-08-17T17:00:00+00:00,audit/dataflow-integrity,derive|web-calculator|web-catalog|package
activity_schedule.csv,BASE.TO.PROF.HYBRID.2025|CONF.AUDIO.PER_PARTICIPANT_HOUR|professional,SRC.SCOPE3.DATA_TRANSFER.2024,verified,Canonical record reviewed against its registered source and verified retrieval ledger; declared provenance and publication surfaces are retained.,09c70d3cb80ee558ccf2359a6a888c12eb725398f66688db5985d2410edf08f1,,,,2026-08-17T17:00:00+00:00,audit/dataflow-integrity,derive|web-calculator|web-catalog|package
activity_schedule.csv,BASE.TO.PROF.HYBRID.2025|FOOD.MEAL.BEEF.SERVING|professional,SRC.POORE2018,verified,Canonical record reviewed against its registered source and verified retrieval ledger; declared provenance and publication surfaces are retained.,998b037a86d42a35e2f95a7731c0ed30cd1ff5564b4f87b346ac587bb1036a36,,,,2026-08-17T17:00:00+00:00,audit/dataflow-integrity,derive|web-calculator|web-catalog|package
activity_schedule.csv,BASE.TO.PROF.HYBRID.2025|FOOD.MEAL.CHICKEN.SERVING|professional,SRC.POORE2018,verified,Canonical record reviewed against its registered source and verified retrieval ledger; declared provenance and publication surfaces are retained.,998b037a86d42a35e2f95a7731c0ed30cd1ff5564b4f87b346ac587bb1036a36,,,,2026-08-17T17:00:00+00:00,audit/dataflow-integrity,derive|web-calculator|web-catalog|package
activity_schedule.csv,BASE.TO.PROF.HYBRID.2025|FOOD.MEAL.VEG.SERVING|professional,SRC.POORE2018,verified,Canonical record reviewed against its registered source and verified retrieval ledger; declared provenance and publication surfaces are retained.,998b037a86d42a35e2f95a7731c0ed30cd1ff5564b4f87b346ac587bb1036a36,,,,2026-08-17T17:00:00+00:00,audit/dataflow-integrity,derive|web-calculator|web-catalog|package
activity_schedule.csv,BASE.TO.PROF.HYBRID.2025|MEDIA.STREAM.HD.HOUR|professional,SRC.DIMPACT.STREAMING.2022,verified,Canonical record reviewed against its registered source and verified retrieval ledger; declared provenance and publication surfaces are retained.,eecc9b96eaa32eb1d932a6435cd530fcbf8329c02529995b19c4f241bf939b7b,,,,2026-08-17T17:00:00+00:00,audit/dataflow-integrity,derive|web-calculator|web-catalog|package
activity_schedule.csv,BASE.TO.PROF.HYBRID.2025|MUSIC.STREAM.STANDARD.HOUR|professional,SRC.DIMPACT.STREAMING.2022,verified,Canonical record reviewed against its registered source and verified retrieval ledger; declared provenance and publication surfaces are retained.,eecc9b96eaa32eb1d932a6435cd530fcbf8329c02529995b19c4f241bf939b7b,,,,2026-08-17T17:00:00+00:00,audit/dataflow-integrity,derive|web-calculator|web-catalog|package
activity_schedule.csv,BASE.TO.PROF.HYBRID.2025|REFR.APPL.FRIDGE.OP.YEAR|professional,SRC.IEA.NRCAN.BUILDINGS.2024,verified,Canonical record reviewed against its registered source and verified retrieval ledger; declared provenance and publication surfaces are retained.,20dd660eed35fa329e076ba1a4a306e2e01916fe2d42495de74839c5245ab90c,,,,2026-08-17T17:00:00+00:00,audit/dataflow-integrity,derive|web-calculator|web-catalog|package
activity_schedule.csv,BASE.TO.PROF.HYBRID.2025|SOCIAL.INSTAGRAM.HOUR|professional,SRC.DIMPACT.STREAMING.2022,verified,Canonical record reviewed against its registered source and verified retrieval ledger; declared provenance and publication surfaces are retained.,eecc9b96eaa32eb1d932a6435cd530fcbf8329c02529995b19c4f241bf939b7b,,,,2026-08-17T17:00:00+00:00,audit/dataflow-integrity,derive|web-calculator|web-catalog|package
activity_schedule.csv,BASE.TO.PROF.HYBRID.2025|SOCIAL.LINKEDIN.HOUR|professional,SRC.DIMPACT.STREAMING.2022,verified,Canonical record reviewed against its registered source and verified retrieval ledger; declared provenance and publication surfaces are retained.,eecc9b96eaa32eb1d932a6435cd530fcbf8329c02529995b19c4f241bf939b7b,,,,2026-08-17T17:00:00+00:00,audit/dataflow-integrity,derive|web-calculator|web-catalog|package
activity_schedule.csv,BASE.TO.PROF.HYBRID.2025|SOCIAL.TWITTER.HOUR|professional,SRC.DIMPACT.STREAMING.2022,verified,Canonical record reviewed against its registered source and verified retrieval ledger; declared provenance and publication surfaces are retained.,eecc9b96eaa32eb1d932a6435cd530fcbf8329c02529995b19c4f241bf939b7b,,,,2026-08-17T17:00:00+00:00,audit/dataflow-integrity,derive|web-calculator|web-catalog|package
activity_schedule.csv,BASE.TO.PROF.HYBRID.2025|SOCIAL.YOUTUBE.HOUR|professional,SRC.DIMPACT.STREAMING.2022,verified,Canonical record reviewed against its registered source and verified retrieval ledger; declared provenance and publication surfaces are retained.,eecc9b96eaa32eb1d932a6435cd530fcbf8329c02529995b19c4f241bf939b7b,,,,2026-08-17T17:00:00+00:00,audit/dataflow-integrity,derive|web-calculator|web-catalog|package
